Date,Open,High,Low,Close,Adj Close,Volume
2015-08-09,null,null,null,null,null,null
2015-08-10,14.890000,15.335000,14.890000,15.289000,15.289000,16
2015-08-11,15.220000,15.281000,15.220000,15.281000,15.281000,6
2015-08-12,15.480000,15.510000,15.473000,15.473000,15.473000,15
2015-08-13,15.396000,15.396000,15.396000,15.396000,15.396000,4
2015-08-14,15.210000,15.210000,15.175000,15.210000,15.210000,0
2015-08-16,null,null,null,null,null,null
2015-08-17,15.295000,15.295000,15.295000,15.295000,15.295000,1
2015-08-18,14.787000,14.787000,14.787000,14.787000,14.787000,0
2015-08-19,15.176000,15.176000,15.176000,15.176000,15.176000,0
2015-08-20,15.465000,15.517000,15.465000,15.517000,15.517000,0
2015-08-21,15.301000,15.301000,15.301000,15.301000,15.301000,252
2015-08-23,null,null,null,null,null,null
2015-08-24,14.762000,14.762000,14.762000,14.762000,14.762000,0
2015-08-25,14.610000,14.655000,14.610000,14.610000,14.610000,9
2015-08-26,14.665000,14.700000,14.045000,14.045000,14.045000,13
2015-08-27,14.185000,14.421000,14.130000,14.421000,14.421000,35
2015-08-28,14.470000,14.650000,14.340000,14.535000,14.535000,59871
2015-08-30,null,null,null,null,null,null
2015-08-31,14.510000,14.635000,14.390000,14.577000,14.577000,13209
2015-09-01,14.620000,14.715000,14.515000,14.613000,14.613000,1441
2015-09-02,14.535000,14.810000,14.445000,14.661000,14.661000,779
2015-09-03,14.740000,14.925000,14.555000,14.702000,14.702000,382
2015-09-04,14.670000,14.810000,14.500000,14.544000,14.544000,123
2015-09-06,null,null,null,null,null,null
2015-09-08,14.630000,14.855000,14.440000,14.750000,14.750000,120
2015-09-09,14.790000,14.865000,14.565000,14.568000,14.568000,233
2015-09-10,14.575000,14.815000,14.565000,14.634000,14.634000,85
2015-09-11,14.700000,14.705000,14.280000,14.490000,14.490000,155
2015-09-13,null,null,null,null,null,null
2015-09-14,14.510000,14.535000,14.355000,14.357000,14.357000,47
2015-09-15,14.375000,14.375000,14.265000,14.319000,14.319000,33
2015-09-16,14.510000,14.900000,14.510000,14.878000,14.878000,24
2015-09-17,14.905000,15.205000,14.850000,14.975000,14.975000,25
2015-09-18,15.265000,15.265000,15.154000,15.154000,15.154000,28
2015-09-20,null,null,null,null,null,null
2015-09-21,15.150000,15.235000,15.150000,15.216000,15.216000,3
